identificacion,lote,nombre_dm,fabricante,dispositivo_medico,numero_reusos,numero_esterilizacion,metodo_esterilizacion,fecha_compra,cantidad_piezas,esterilizador,fecha_vencimiento
46.124.90,m,Especulo Nasasl De Cottle Con Rama,DIMEDA,Retractor,4,3,Esterilizacion por Autoclave,18/05/2024,1,Autoclave,28/02/2025
06.104.00,m,Mango Para Bisturi No.4,DIMEDA,Bisturi,4,3,Esterilizacion por Autoclave,19/05/2024,1,Autoclave,28/02/2025
64.160.16,m,Pinza Babcock Intestinal De 16 Cms,DIMEDA,Pinza,5,4,Esterilizacion por Autoclave,20/05/2024,1,Autoclave,28/02/2025
09.141.08,m,Tijeras Vannas,DIMEDA,Tijera,4,3,Esterilizacion por Autoclave,21/05/2024,1,Autoclave,28/02/2025
12.320.22,m,Pinzas Koger Rectas Grande,DIMEDA,Pinza,5,4,Esterilizacion por Autoclave,22/05/2024,1,Autoclave,28/02/2025
64.231.25,m,Clamp Intestinal Mayo-Robson Curvo,DIMEDA,Pinza,3,2,Esterilizacion por Autoclave,23/05/2024,1,Autoclave,28/02/2025
18.364.40,m,Separador Israel 40X40Mm. X 25 Mm,DIMEDA,Retractor,2,1,Esterilizacion por Autoclave,24/05/2024,1,Autoclave,28/02/2025
08.287.15,m,Tijera Metzembaum Corte Fino,DIMEDA,Tijera,3,2,Esterilizacion por Autoclave,25/05/2024,1,Autoclave,28/02/2025
33.532.17,m,Alicate Para Cirugia 18.5,DIMEDA,Pinza,2,1,Esterilizacion por Autoclave,26/05/2024,1,Autoclave,28/02/2025
08.174.15,m,Mayo Stille Tijeras En Tungsteno,DIMEDA,Tijera,5,4,Esterilizacion por Autoclave,27/05/2024,1,Autoclave,28/02/2025
06.103.00,m,Mango Para Bisturi No. 3,DIMEDA,Bisturi,4,3,Esterilizacion por Autoclave,28/05/2024,1,Autoclave,28/02/2025
12.413.18,m,Pinza Adson Curva Hemostatica,DIMEDA,Pinza,3,2,Esterilizacion por Autoclave,29/05/2024,1,Autoclave,28/02/2025
13.209.27,m,Pinza Clamp Liddle Vascular,DIMEDA,Pinza,2,1,Esterilizacion por Autoclave,30/05/2024,1,Autoclave,28/02/2025
313‑9015W,m,Máscara nasal BiTrac para NIV,Hamilton Medical,Mascara,3,2,Esterilizacion por Autoclave,31/05/2024,1,Autoclave,28/02/2025
313‑9524,m,Máscara BiTrac MaxShield para NIV con codo estándar,Hamilton Medical,Mascara,3,2,Esterilizacion por Autoclave,01/06/2024,2,Autoclave,28/02/2025
260128v,m,Equipo respiratorio coaxial,Hamilton Medical,Equipo respiratorio,4,3,Esterilizacion por Autoclave,02/06/2024,1,Autoclave,28/02/2025
282051i,m,Sensor flujo,Hamilton Medical,Sensor,2,1,Esterilizacion por Autoclave,03/06/2024,2,Autoclave,28/02/2025
160500v,m,Membrana de la válvula espiratoria,Hamilton Medical,Valvula,3,2,Esterilizacion por Autoclave,04/06/2024,1,Autoclave,28/02/2025
151972v,m,Conjunto de válvula espiratoria,Hamilton Medical,Valvula,4,3,Esterilizacion por Autoclave,05/06/2024,1,Autoclave,28/02/2025
10161781i,m,Interchangeable Standard Nebulizer Elbow,Hamilton Medical,Filtro,5,4,Esterilizacion por Autoclave,06/06/2024,1,Autoclave,28/02/2025
47‑9005c,m,Catéter esofágico,Hamilton Medical,Cateter,3,2,Esterilizacion por Autoclave,07/06/2024,1,Autoclave,28/02/2025
AGAP1000,m,Aerogen Pro ‑ Nebulizador,Hamilton Medical,Filtro,4,3,Esterilizacion por Autoclave,08/06/2024,1,Autoclave,28/02/2025
151259T,m,Tubo para nebulizador neumático,Hamilton Medical,Tubo,4,3,Esterilizacion por Autoclave,09/06/2024,1,Autoclave,28/02/2025
U50,m,Filtro de sistema respiratorio Ultipor,Hamilton Medical,Filtro,5,4,Esterilizacion por Autoclave,10/06/2024,1,Autoclave,28/02/2025
AL08016,m,Filtro HME bacteriano y vírico,Hamilton Medical,Filtro,5,4,Esterilizacion por Autoclave,11/06/2024,1,Autoclave,28/02/2025
279963f,m,Filtro HME,Hamilton Medical,Filtro,5,4,Esterilizacion por Autoclave,12/06/2024,1,Autoclave,28/02/2025
151235t,m,Tubo para detección de presión auxiliar,Hamilton Medical,Tubo,3,2,Esterilizacion por Autoclave,13/06/2024,1,Autoclave,28/02/2025
R3548,m,Tubo de extensión extensible DAR™,Metronic,Filtro,4,3,Esterilizacion por Autoclave,14/06/2024,1,Autoclave,28/02/2025
E8769,m,Filtro electrostático DAR™,Metronic,Filtro,4,3,Esterilizacion por Autoclave,15/06/2024,1,Autoclave,28/02/2025
E7413,m,Filtro mecánico DAR™,Metronic,Filtro,4,3,Esterilizacion por Autoclave,16/06/2024,1,Autoclave,28/02/2025
8795545Tr,m,Trocar laparoscópico con cánula 5 mm,Surgical House,Trocar,3,2,Peroxido de hidrogeno,17/06/2024,4,STERRAD NX,28/02/2025
9874523Tr,m,Cánula Trocar laparoscópica con reductor 12 mm,Surgical House,Trocar,3,2,Peroxido de hidrogeno,18/06/2024,1,STERRAD NX,28/02/2025
9794531Tr,m,Trocar laparoscópico con cánula 5 mm,Surgical House,Trocar,3,2,Peroxido de hidrogeno,19/06/2024,4,STERRAD NX,28/02/2025
EGIATRS60AMT,m,Endo Gia 60 Tri-staple Reforzado,Medtronic,Trocar,5,4,Peroxido de hidrogeno,20/06/2024,1,STERRAD NX,28/02/2025
9018909Tr,m,Trocar laparoscópica desechables para cirugía abdominal,Zhichao Medical,Trocar,2,1,Peroxido de hidrogeno,,,,
